rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,hd_name,hip_name
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,1.90000,0.10000,-0.10000,0,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,0,0.4800,0.0300,-0.0300,0,0,,,,,0,,
15,2MASS J21402931+1625183 A,b,Imaging,1,7336.50000000,1934.50000000,-584.00000000,0,,,,,0.260000,0.060000,-0.060000,0,20.95000,83.79000,-20.95000,0,,,,,0.920,0.390,-0.360,0,,,,,46.200,2.500,-8.700,0,0,0,25.00,10.00,-10.00,0,,,,,2300.00,80.00,-80.00,0,0,0.0800,0.0600,-0.0600,0,0,0.12,0.05,-0.04,0,0,,
16,30 Ari B,b,Radial Velocity,1,335.10000000,2.50000000,-2.50000000,0,0.995000,0.012000,-0.012000,0,0.289000,0.092000,-0.092000,0,,,,,9.88000,0.94000,-0.94000,0,,,,,,,,,,,,,0,0,39.43,1.64,-1.79,0,,,,,6300.00,60.00,-60.00,0,0,1.1600,0.0400,-0.0400,0,0,1.13,0.03,-0.03,0,0,HD 16232,HIP 12184
17,4 UMa,b,Radial Velocity,1,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,0.432000,0.024000,-0.024000,0,,,,,7.10000,1.60000,-1.60000,0,,,,,,,,,,,,,0,0,77.40,4.03,-4.50,0,4.610,,0,0,4415.00,70.00,-70.00,0,0,1.2340,0.1500,-0.1500,0,0,18.11,1.47,-1.47,0,0,HD 73108,HIP 42527
18,42 Dra,b,Radial Velocity,1,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,0.380000,0.060000,-0.060000,0,,,,,3.88000,0.85000,-0.85000,0,,,,,,,,,,,,,0,0,97.28,4.34,-4.76,0,4.820,,0,0,4200.00,70.00,-70.00,0,0,0.9800,0.0500,-0.0500,0,0,22.03,1.00,-1.00,0,0,HD 170693,HIP 90344
19,47 UMa,b,Radial Velocity,3,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,,,,,2.53000,0.07000,-0.06000,0,,,,,,,,,,,,,0,0,14.08,0.13,-0.13,0,5.050,,0,0,5892.00,70.00,-70.00,0,0,1.0300,0.0500,-0.0500,0,0,1.23,,,0,0,HD 95128,HIP 53721
20,47 UMa,c,Radial Velocity,3,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,,,,,0.54000,0.06600,-0.07300,0,,,,,,,,,,,,,0,0,14.08,0.13,-0.13,0,5.050,,0,0,5892.00,70.00,-70.00,0,0,1.0300,0.0500,-0.0500,0,0,1.23,,,0,0,HD 95128,HIP 53721
21,47 UMa,d,Radial Velocity,3,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,,,,,1.64000,0.29000,-0.48000,0,,,,,,,,,,,,,0,0,14.08,0.13,-0.13,0,5.050,,0,0,5892.00,70.00,-70.00,0,0,1.0300,0.0500,-0.0500,0,0,1.23,,,0,0,HD 95128,HIP 53721
22,51 Eri,b,Imaging,1,,,,0,13.200000,0.200000,-0.200000,0,,,,,2.00000,,,0,,,,,,,,,,,,,,,,,0,0,29.40,0.30,-0.30,0,5.230,,0,0,,,,,0,1.7500,0.0500,-0.0500,0,0,,,,,0,HD 29391,HIP 21547
23,51 Peg,b,Radial Velocity,1,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,,,,,0.47200,0.03900,-0.03900,0,,,,,,,,,,,,,0,0,15.36,0.18,-0.18,0,5.500,,0,0,5793.00,70.00,-70.00,0,0,1.1200,0.0600,-0.0600,0,0,1.20,,,0,0,HD 217014,HIP 113357
24,55 Cnc,b,Radial Velocity,5,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,0.003400,0.003200,-0.003200,0,0.83060,0.00330,-0.00330,0,,,,,,,,,,,,,90.000,,,0,0,0,12.53,0.13,-0.13,0,5.960,0.010,0,0,5196.00,24.00,-24.00,0,0,0.9050,0.0150,-0.0150,0,0,0.94,0.01,-0.01,0,0,HD 75732,HIP 43587
25,55 Cnc,c,Radial Velocity,5,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,0.020000,0.031000,-0.031000,0,0.17140,0.00550,-0.00550,0,,,,,,,,,,,,,90.000,,,0,0,0,12.53,0.13,-0.13,0,5.960,0.010,0,0,5196.00,24.00,-24.00,0,0,0.9050,0.0150,-0.0150,0,0,0.94,0.01,-0.01,0,0,HD 75732,HIP 43587
26,55 Cnc,d,Radial Velocity,5,4825.00000000,39.00000000,-39.00000000,0,5.503000,0.030000,-0.030000,0,0.019000,0.013000,-0.013000,0,3.87800,0.06800,-0.06800,0,,,,,,,,,,,,,90.000,,,0,0,0,12.53,0.13,-0.13,0,5.960,0.010,0,0,5196.00,24.00,-24.00,0,0,0.9050,0.0150,-0.0150,0,0,0.94,0.01,-0.01,0,0,HD 75732,HIP 43587
27,55 Cnc,e,Radial Velocity,5,0.73655150,0.00000150,-0.00000150,0,0.015691,0.000000,0.000000,0,0.040000,0.027000,-0.027000,0,0.02561,0.00073,-0.00073,0,,,,,,,,,,,,,90.000,,,0,0,0,12.53,0.13,-0.13,0,5.960,0.010,0,0,5196.00,24.00,-24.00,0,0,0.9050,0.0150,-0.0150,0,0,0.94,0.01,-0.01,0,0,HD 75732,HIP 43587
28,55 Cnc,f,Radial Velocity,5,262.00000000,0.51000000,-0.51000000,0,0.788000,0.001000,-0.001000,0,0.305000,0.075000,-0.075000,0,0.14100,0.01200,-0.01200,0,,,,,,,,,,,,,90.000,,,0,0,0,12.53,0.13,-0.13,0,5.960,0.010,0,0,5196.00,24.00,-24.00,0,0,0.9050,0.0150,-0.0150,0,0,0.94,0.01,-0.01,0,0,HD 75732,HIP 43587
29,6 Lyn,b,Radial Velocity,1,874.77400000,16.27000000,-8.47000000,0,2.180000,0.050000,-0.060000,0,0.059000,,,0,,,,,2.21000,0.11000,-0.16000,0,,,,,,,,,,,,,0,0,56.95,2.36,-2.58,0,,,,,4978.00,18.00,-18.00,0,0,1.7000,0.1000,-0.2000,0,0,5.20,0.40,-0.30,0,0,HD 45410,HIP 31039
30,61 Vir,b,Radial Velocity,3,4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,0.120000,0.110000,-0.110000,0,,,,,0.01600,0.00200,-0.00200,0,,,,,,,,,,,,,0,0,8.52,0.05,-0.05,0,4.740,,0,0,5577.00,33.00,-33.00,0,0,0.9420,0.0340,-0.0290,0,0,0.96,0.01,-0.01,0,0,HD 115617,HIP 64924
31,61 Vir,c,Radial Velocity,3,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,,,,,0.05700,0.00300,-0.00300,0,,,,,,,,,,,,,0,0,8.52,0.05,-0.05,0,4.740,,0,0,5577.00,33.00,-33.00,0,0,0.9420,0.0340,-0.0290,0,0,0.96,0.01,-0.01,0,0,HD 115617,HIP 64924
32,61 Vir,d,Radial Velocity,3,123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,0.350000,0.090000,-0.090000,0,,,,,0.07200,0.00800,-0.00800,0,,,,,,,,,,,,,0,0,8.52,0.05,-0.05,0,4.740,,0,0,5577.00,33.00,-33.00,0,0,0.9420,0.0340,-0.0290,0,0,0.96,0.01,-0.01,0,0,HD 115617,HIP 64924
33,7 CMa,b,Radial Velocity,1,763.00000000,17.00000000,-17.00000000,0,1.900000,0.100000,-0.100000,0,0.140000,0.060000,-0.060000,0,,,,,2.60000,0.60000,-0.60000,0,,,,,,,,,,,,,0,0,19.84,0.27,-0.28,0,3.920,,0,0,4792.00,100.00,-100.00,0,0,1.5200,0.3000,-0.3000,0,0,2.30,0.10,-0.10,0,0,HD 47205,HIP 31592
34,70 Vir,b,Radial Velocity,1,116.69260000,0.00140000,-0.00140000,0,0.481000,0.003000,-0.003000,0,0.399000,0.002000,-0.002000,0,,,,,7.40000,0.02000,-0.02000,0,,,,,,,,,,,,,0,0,18.11,0.24,-0.24,0,4.980,,0,0,5439.00,44.00,-44.00,0,0,1.0900,0.0200,-0.0200,0,0,1.94,0.05,-0.05,0,0,HD 117176,HIP 65721
35,75 Cet,b,Radial Velocity,1,691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,0.117000,0.048000,-0.048000,0,3.00000,,,0,,,,,,,,,,,,,,,,,0,0,81.50,6.87,-8.27,0,5.350,,0,0,4846.00,18.00,-18.00,0,0,2.4900,0.0200,-0.2700,0,0,10.50,1.00,-1.00,0,0,HD 15779,HIP 11791
36,81 Cet,b,Radial Velocity,1,952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,0.206000,0.029000,-0.029000,0,,,,,5.30000,,,0,,,,,,,,,,,,,0,0,97.18,8.37,-10.11,0,5.650,,0,0,4785.00,25.00,-25.00,0,0,2.4000,0.1000,-0.4000,0,0,11.00,2.00,-1.00,0,0,HD 16400,HIP 12247
37,91 Aqr,b,Radial Velocity,1,181.40000000,0.10000000,-0.10000000,0,0.700000,,,0,0.027000,0.026000,-0.026000,0,,,,,3.20000,,,0,,,,,,,,,,,,,0,0,45.52,1.77,-1.92,0,4.250,,0,0,4665.00,18.00,-18.00,0,0,1.4000,0.1000,-0.1000,0,0,11.00,0.10,-0.10,0,0,HD 219449,HIP 114855
38,AB Pic,b,Imaging,1,,,,,260.000000,,,0,,,,,13.50000,0.50000,-0.50000,0,,,,,,,,,,,,,,,,,0,0,45.52,1.64,-1.76,0,9.128,0.019,0,0,,,,,,,,,,,,,,,,HD 44627,HIP 30034
39,BD+14 4559,b,Radial Velocity,1,268.94000000,0.99000000,-0.99000000,0,0.777000,,,0,0.290000,0.030000,-0.030000,0,,,,,1.47000,,,0,,,,,,,,,,,,,0,0,50.03,3.73,-4.38,0,9.630,0.012,0,0,5008.00,20.00,-20.00,0,0,0.8600,0.1500,-0.1500,0,0,0.95,0.20,-0.20,0,0,,HIP 104780
40,BD+15 2940,b,Radial Velocity,1,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,0.260000,0.100000,-0.100000,0,,,,,1.11000,,,0,,,,,,,,,,,,,0,0,175.44,,,-1,9.046,0.021,0,0,4796.00,117.00,-117.00,0,0,1.1000,0.2000,-0.2000,0,0,14.70,2.80,-2.80,0,0,,HIP 78407
41,BD+20 1790,b,Radial Velocity,1,7.78287000,0.00077000,-0.00076000,0,0.066000,0.005000,-0.006000,0,0.220000,0.070000,-0.090000,0,,,,,6.37000,1.35000,-1.35000,0,,,,,,,,,,,,,0,0,25.40,4.00,-4.00,0,,,,,4410.00,,,0,0,0.6300,0.0900,-0.0900,0,0,0.71,0.03,-0.03,0,0,,
42,BD+20 2457,b,Radial Velocity,2,379.63000000,2.01000000,-2.01000000,0,1.450000,,,0,0.150000,0.030000,-0.030000,0,,,,,21.42000,,,0,,,,,,,,,,,,,0,0,,,,,9.750,,0,0,4137.00,10.00,-10.00,0,0,2.8000,1.5000,-1.5000,0,0,49.00,26.00,-26.00,0,0,,
43,BD+20 2457,c,Radial Velocity,2,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,0.180000,0.060000,-0.060000,0,,,,,12.47000,,,0,,,,,,,,,,,,,0,0,,,,,9.750,,0,0,4137.00,10.00,-10.00,0,0,2.8000,1.5000,-1.5000,0,0,49.00,26.00,-26.00,0,0,,
44,BD+20 274,b,Radial Velocity,1,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,0.210000,0.060000,-0.060000,0,4.20000,,,0,,,,,,,,,,,,,,,,,0,0,,,,,9.360,,0,0,4296.00,10.00,-10.00,0,0,0.8000,0.2000,-0.2000,0,0,17.30,0.90,-0.90,0,0,,
45,BD+48 738,b,Radial Velocity,1,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,0.200000,0.100000,-0.100000,0,,,,,0.91000,,,0,,,,,,,,,,,,,0,0,,,,,9.140,,0,0,4414.00,15.00,-15.00,0,0,0.7400,0.3900,-0.3900,0,0,11.00,1.00,-1.00,0,0,,
46,BD+49 828,b,Radial Velocity,1,2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,0.350000,0.240000,-0.100000,0,,,,,1.60000,0.40000,-0.20000,0,,,,,,,,,,,,,0,0,,,,,9.380,0.020,0,0,4943.00,30.00,-30.00,0,0,1.5200,0.2200,-0.2200,0,0,7.60,1.30,-1.30,0,0,,
47,BD-06 1339,b,Radial Velocity,2,3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,0.000000,,,0,,,,,0.02700,0.00400,-0.00400,0,,,,,,,,,,,,,0,0,20.10,0.65,-0.69,0,9.700,0.009,0,0,4324.00,100.00,-100.00,0,0,0.7000,,,0,0,,,,,,,HIP 27803
48,BD-06 1339,c,Radial Velocity,2,125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,0.310000,0.110000,-0.110000,0,,,,,0.17000,0.03000,-0.03000,0,,,,,,,,,,,,,0,0,20.10,0.65,-0.69,0,9.700,0.009,0,0,4324.00,100.00,-100.00,0,0,0.7000,,,0,0,,,,,,,HIP 27803
49,BD-08 2823,b,Radial Velocity,2,5.60000000,0.02000000,-0.02000000,0,0.056000,0.002000,-0.002000,0,0.150000,0.150000,-0.150000,0,,,,,0.04500,0.00700,-0.00700,0,,,,,,,,,,,,,0,0,42.09,2.67,-3.06,0,9.880,0.043,0,0,4746.00,63.00,-63.00,0,0,0.7400,0.0700,-0.0700,0,0,,,,,,,HIP 49067
50,BD-08 2823,c,Radial Velocity,2,237.60000000,1.50000000,-1.50000000,0,0.680000,0.020000,-0.020000,0,0.190000,0.090000,-0.090000,0,,,,,0.33000,0.03000,-0.03000,0,,,,,,,,,,,,,0,0,42.09,2.67,-3.06,0,9.880,0.043,0,0,4746.00,63.00,-63.00,0,0,0.7400,0.0700,-0.0700,0,0,,,,,,,HIP 49067
51,BD-10 3166,b,Radial Velocity,1,3.48777000,0.00011000,-0.00011000,0,0.045200,0.002600,-0.002600,0,0.019000,0.023000,-0.023000,0,,,,,0.45800,0.03900,-0.03900,0,,,,,,,,,,,,,0,0,80.00,10.00,-10.00,0,10.080,,0,0,5393.00,,,0,0,1.0100,,,,0,,,,,,,
52,BD-11 4672,b,Radial Velocity,1,1667.00000000,33.00000000,-31.00000000,0,2.280000,0.070000,-0.070000,0,0.050000,0.060000,-0.040000,0,,,,,0.53000,0.05000,-0.05000,0,,,,,,,,,,,,,0,0,27.30,,,0,9.990,,0,0,4475.00,100.00,-100.00,0,0,0.5710,0.0140,-0.0140,0,0,0.52,0.02,-0.02,0,0,,HIP 90979
53,BD-13 2130,b,Radial Velocity,1,714.30000000,5.30000000,-5.30000000,0,2.100000,,,0,0.210000,0.070000,-0.070000,0,,,,,10.60000,,,0,,,,,,,,,,,,,0,0,766.00,,,0,9.450,,0,0,,,,,0,2.4000,0.2000,-0.2000,0,0,,,,,0,,
54,BD-17 63,b,Radial Velocity,1,655.60000000,0.60000000,-0.60000000,0,1.340000,0.020000,-0.020000,0,0.540000,0.005000,-0.005000,0,,,,,5.10000,0.12000,-0.12000,0,,,,,,,,,,,,,0,0,37.54,1.87,-2.08,0,9.566,0.024,0,0,4714.00,93.00,-93.00,0,0,0.7400,0.0300,-0.0300,0,0,0.69,,,0,0,,HIP 2247
55,CFBDSIR J145829+101343,b,Imaging,1,10037.50000000,2737.50000000,-2737.50000000,0,2.600000,0.300000,-0.300000,0,,,,,10.50000,4.50000,-4.50000,0,,,,,,,,,,,,,,,,,0,0,23.10,2.40,-2.40,0,,,,,580.50,24.50,-24.50,0,0,0.0210,0.0090,-0.0090,0,0,,,,,,,
56,CHXR 73,b,Imaging,1,,,,,210.000000,,,0,,,,,12.56900,8.37900,-5.23700,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0.3500,,,0,0,,,,,,,
57,CT Cha,b,Imaging,1,,,,,440.000000,,,0,,,,,17.00000,6.00000,-6.00000,0,,,,,2.200,0.810,-0.600,0,,,,,,,,,0,0,165.00,30.00,-30.00,0,,,,,,,,,,,,,,,,,,,,,
58,CoRoT-1,b,Transit,1,1.50895570,0.00000640,-0.00000640,0,,,,,0.000000,,,0,1.03000,0.12000,-0.12000,0,,,,,1.490,0.080,-0.080,0,0.38000,0.05000,-0.05000,0,85.100,0.500,-0.500,0,0,0,,,,,13.600,,0,0,5950.00,150.00,-150.00,0,0,0.9500,0.1500,-0.1500,0,0,1.11,0.05,-0.05,0,0,,
59,CoRoT-10,b,Transit,1,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,0.530000,0.040000,-0.040000,0,2.75000,0.16000,-0.16000,0,,,,,0.970,0.070,-0.070,0,3.70000,0.83000,-0.83000,0,88.550,0.200,-0.200,0,0,0,345.00,70.00,-70.00,0,15.220,0.050,0,0,5075.00,75.00,-75.00,0,0,0.8900,0.0500,-0.0500,0,0,0.79,0.05,-0.05,0,0,,
60,CoRoT-11,b,Transit,1,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,0.000000,,,0,2.33000,0.34000,-0.34000,0,,,,,1.430,0.030,-0.030,0,0.99000,0.15000,-0.15000,0,83.170,0.150,-0.150,0,0,0,560.00,30.00,-30.00,0,,,,,6440.00,120.00,-120.00,0,0,1.2700,0.0500,-0.0500,0,0,1.37,0.03,-0.03,0,0,,
61,CoRoT-12,b,Transit,1,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,0.070000,0.063000,-0.042000,0,0.91700,0.07000,-0.06500,0,,,,,1.440,0.130,-0.130,0,0.41100,0.12900,-0.09400,0,85.480,0.720,-0.770,0,0,0,1150.00,85.00,-85.00,0,15.515,0.052,0,0,5675.00,80.00,-80.00,0,0,1.0780,0.0770,-0.0720,0,0,1.12,0.10,-0.09,0,0,,
62,CoRoT-13,b,Transit,1,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,0.000000,,,0,1.30800,0.06600,-0.06600,0,,,,,0.885,0.014,-0.014,0,2.34000,0.23000,-0.23000,0,88.020,0.340,-0.360,0,0,0,1060.00,100.00,-100.00,0,15.039,0.041,0,0,5945.00,90.00,-90.00,0,0,1.0900,0.0200,-0.0200,0,0,1.01,0.03,-0.03,0,0,,
63,CoRoT-14,b,Transit,1,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,0.000000,,,0,7.60000,0.60000,-0.60000,0,,,,,1.090,0.070,-0.070,0,7.30000,1.50000,-1.50000,0,79.600,0.800,-0.800,0,0,0,1340.00,110.00,-110.00,0,16.033,0.070,0,0,6035.00,100.00,-100.00,0,0,1.1300,0.0900,-0.0900,0,0,1.21,0.08,-0.08,0,0,,
64,CoRoT-16,b,Transit,1,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,0.330000,0.090000,-0.100000,0,0.53500,0.08500,-0.08300,0,,,,,1.170,0.160,-0.140,0,0.44000,0.21000,-0.14000,0,85.010,0.940,-1.200,0,0,0,840.00,90.00,-90.00,0,15.630,,0,0,5650.00,100.00,-100.00,0,0,1.0980,0.0820,-0.0780,0,0,1.19,0.14,-0.13,0,0,,
65,CoRoT-17,b,Transit,1,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,0.000000,,,0,2.43000,0.30000,-0.30000,0,,,,,1.020,0.070,-0.070,0,2.82000,0.38000,-0.38000,0,88.340,1.540,-1.540,0,0,0,920.00,50.00,-50.00,0,15.460,,0,0,5740.00,80.00,-80.00,0,0,1.0400,0.1000,-0.1000,0,0,1.59,0.07,-0.07,0,0,,
66,CoRoT-18,b,Transit,1,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001600,-0.001600,0,0.080000,,,1,3.47000,0.38000,-0.38000,0,,,,,1.310,0.180,-0.180,0,2.20000,0.80000,-0.80000,0,86.500,1.400,-0.900,0,0,0,870.00,90.00,-90.00,0,15.000,0.100,0,0,5440.00,100.00,-100.00,0,0,0.9500,0.1500,-0.1500,0,0,1.00,0.13,-0.13,0,0,,
67,CoRoT-19,b,Transit,1,3.89713000,0.00002000,-0.00002000,0,0.051800,0.000800,-0.000800,0,0.047000,0.045000,-0.045000,0,1.11000,0.06000,-0.06000,0,,,,,1.290,0.030,-0.030,0,0.71000,0.06000,-0.06000,0,88.000,0.700,-0.700,0,0,0,770.00,160.00,-160.00,0,14.007,,0,0,6090.00,70.00,-70.00,0,0,1.2100,0.0500,-0.0500,0,0,1.65,0.04,-0.04,0,0,,
68,CoRoT-2,b,Transit,1,1.74299350,0.00000100,-0.00000100,0,0.027980,0.000760,-0.000800,0,0.014300,0.007700,-0.007600,0,3.47000,0.22000,-0.22000,0,,,,,1.466,0.042,-0.044,0,1.47000,0.08000,-0.07400,0,88.080,0.180,-0.160,0,0,0,200.00,,,0,12.570,,0,0,5625.00,120.00,-120.00,0,0,0.9600,0.0800,-0.0800,0,0,0.91,0.03,-0.03,0,0,,
